District,Constituency,Population,Voters,Male_Voters,Female_Voters
NAROWAL,NA-133 - Sheikhupura-III,415766,291283,168944,122339
OKARA,NA-158 -Khanewal-III,441551,331954,185894,146060
OKARA,NA-159 -Khanewal-IV,444530,320986,182962,138024
OKARA,NA-160 -Sahiwal-I,429357,306875,171850,135025
OKARA,NA-161 -Sahiwal-II,457582,304942,170768,134174
OKARA,NA-162 -Sahiwal-III,459972,306359,186127,131734
PAKPATTAN,NA-164 Pakpattan-I,413808,230030,122315,107715
PAKPATTAN,NA-165 Pakpattan-II,438509,243867,128678,115189
PAKPATTAN,NA-166 Pakpattan-III,434363,249043,130873,118170
RAHIM YAR KHAN,NA-192 Rahim Yar Khan-I,586119,346566,180637,165929
RAHIM YAR KHAN,NA-193 Rahim Yar Khan-II,456383,280047,148560,131487
RAHIM YAR KHAN,NA-194 Rahim Yar Khan-III,530708,300057,156859,143198
RAHIM YAR KHAN,NA-195 Rahim Yar khan-IV,516871,262927,142386,120541
RAHIM YAR KHAN,NA-196 Rahim Yar khan-V,509691,256278,139127,117151
RAHIM YAR KHAN,NA-197 Rahim Yar khan-VI,541281,265809,147298,118511
RAJANPUR,NA-174 Rajanpur-I,546304,305453,167472,137981
RAJANPUR,NA-175 Rajanpur-II,557314,292109,163245,128864
RAWALPINDI,NA-50 Rawalpindi I,489887,442458,238927,203530
RAWALPINDI,NA-51 Rawalpindi II,494010,452466,239806,212659
RAWALPINDI,NA-52 Rawalpindi III,486054,455187,245801,209386
RAWALPINDI,NA-53 Rawalpindi IV,484192,382119,206344,175774
RAWALPINDI,NA-54 Rawalpindi V,484192,300816,162440,138375
RAWALPINDI,NA-55 Rawalpindi VI,487937,324022,178212,145809
RAWALPINDI,NA-56 Rawalpindi VII,457495,288423,155748,132674
SAHIWAL,NA-160 Sahiwal-I,462481,263042,138673,124369
SAHIWAL,NA-161 Sahiwal-II,467100,270851,142759,128092
SAHIWAL,NA-162 Sahiwal-III,468128,270376,142991,127385
SAHIWAL,NA-163 Sahiwal-IV,445485,260155,136338,123817
SARGODHA,NA-64 Sargodha-I,550142,415413,236785,178628
SARGODHA,NA-65 Sargodha-II,502676,323341,187538,135803
SARGODHA,NA-66 Sargodha-III,546411,384131,211272,172858
SARGODHA,NA-67 Sargodha-IV,530289,365609,204741,160867
SARGODHA,NA-68 Sargodha-V,536461,373232,209009,164222
SHEIKHUPURA,NA-146 -Okara-IV,485778,273408,155843,117565
SHEIKHUPURA,NA-147 -Sheikhupura-II,474415,264607,150826,113781
SHEIKHUPURA,NA-148 -Multan-I,453801,350801,189433,161368
SHEIKHUPURA,NA-149 -Multan-II,456747,338005,182523,155482
SHEIKHUPURA,NA-150 -Multan-III,482107,373331,205332,167999
SHEIKHUPURA,NA-151 -Multan-IV,494216,362313,192026,170287
SHEIKHUPURA,NA-152 -Multan-IV,473965,332921,176448,156473
SIALKOT,NA-110 Sialkot-I,494834,342125,191590,150535
SIALKOT,NA-111 -Sialkot-II,476749,399981,231989,167992
SIALKOT,NA-127 -Lahore-X,551698,330154,188188,141966
SIALKOT,NA-128 -Lahore-XI,547562,410903,234215,176688
SIALKOT,NA-129 -Lahore-XII,539024,273648,169662,103986
SIALKOT,NA-130 -Lahore-XIII,590363,289684,173810,115874
TOBA TEK SINGH,NA-92 Toba Tek Singh,531834,354476,202051,152424
TOBA TEK SINGH,NA-93 Toba Tek Singh-II,717493,352845,201121,151723
TOBA TEK SINGH,NA-94 Toba Tek Singh-III,572266,385561,215914,169646
VEHARI,NA- 182 Layyah -II,524873,303823,160490,143333
VEHARI,NA-168 Vehari-II,517541,277169,149459,127710
VEHARI,NA-169 Vehari-III,519868,268924,145746,123178
VEHARI,NA-170 Vehari-IV,528134,282646,150391,132255
ABBOTTABAD,NA-8 Charsadda-II,495212,329042,194134,134907
ABBOTTABAD,NA-17 Abbottabad,435496,338265,189428,148836
ABBOTTABAD,NA-18 Abbottabad II,445170,336924,192046,80508
BANNU,NA-26 Bannu,675667,444059,261994,182064
BATAGRAM,NA-22 Batagram,307278,204979,118887,84041
BUNER,NA-28 Buner,506048,360019,194410,165608
CHARSADDA,NA-7 Charsadda-I,527152,376415,214556,161858
CHARSADDA,NA-8(Charsadda-II),-,-,-,-
CHITRAL,NA-32 Chitral,318689,206910,120007,86902
D. I. KHAN,NA-24 D. I. Khan,539685,390996,215047,175948
D. I. KHAN,NA-25 D.I Khan-cum-Tank,549927,366550,205268,168613
HANGU,NA-16 Hangu,430796,214703,126674,88028
HARIPUR,NA-19 Haripur,692280,531865,297844,234020
KARAK,NA-15 Karak,314529,315087,176448,138638
KOHAT,NA-14 Kohat,562644,409375,233343,176031
KOHISTAN,NA-23 Kohistan,472570,127028,72406,54622
LAKKI MARWAT,NA-27 Lakki Marwat,490025,330274,188256,142017
LOWER DIR,NA-34 Lower Dir,717649,504091,297413,206677
MALAKAND PROTECTED AREA,NA-35 Malakand,452291,311172,177368,133803
MANSEHRA,NA-20 Mansehra-I,566727,415191,236658,178532
MANSEHRA,NA-21 Mansehra-II,512056,392358,223644,168713
MARDAN,NA-9 Mardan-I,496150,336177,198344,137832
MARDAN,NA-10 Mardan II,484882,321660,189799,131880
MARDAN,NA-11 Mardan III,493145,329285,190985,138299
NOWSHERA,NA-5 Nowshera-I,439110,320275,179354,140921
NOWSHERA,NA-6 Nowshera-II,435263,299273,167592,131680
PESHAWAR,NA-1 Peshawer-1,487888,320577,185934,134642
PESHAWAR,NA-2 Peshwar II,495111,336401,124644,191748
PESHAWAR,NA-3 Peshawar III,514896,383724,133623,101363
PESHAWAR,NA-4 Peshawar IV,522307,352446,207943,144502
SHANGLA,NA-31 Shangla,434563,296723,239009,133525
SWABI,NA-12 Swabi I,514282,351675,151220,165287
SWABI,NA-13 Swabi II,512522,362779,210411,152367
SWAT,NA-29 Swat-I,666112,360019,198010,162008
SWAT,NA-30 Swat II,591490,360019,201610,158408
TANK,NA-25(D.I.Khan-cum-Tank),-,-,-,-
UPPER DIR,NA-33 Upper Dir,575858,368035,228181,139853
AWARAN,NA-112 -Sialkot-III,510024,363004,214172,148832
AWARAN,NA-122 -Lahore-V,430868,326028,179315,146713
AWARAN,NA-260 (QUETTA-CUM-CHANGAI-CUM-NUSHKI (OLD QUETTA-CUM-CHAGAI-CUM-MUSTANG)),1140000,429778,259307,170474
KACHHI,NA-119-Lahore-I,365421,305570,177231,128339
KALAT,NA-120 -Lahore-II,378211,295826,165663,130163
KECH,NA-124 Lahore-VII,598702,281803,137506,144297
KHARAN,NA-123 -Lahore-VI,440960,347941,201806,146135
KHUZDAR,NA-121 -Lahore-VI,417466,388441,217527,170914
KILLA ABDULLAH,NA-114 -Sialkot-V,370269,381496,225083,156413
LORALAI,NA-115 -Narowal-I,487778,247582,143598,103984
NASIRABAD,NA-118 -Lahore-I,678711,334256,193868,140388
